file,class,method,variable,usage
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\feign\fallback\UserServiceFallbackFactory.java,com.central.common.feign.fallback.UserServiceFallbackFactory$Anonymous1,findRolesByUserId/1[java.lang.Long],id,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\feign\fallback\UserServiceFallbackFactory.java,com.central.common.feign.fallback.UserServiceFallbackFactory$Anonymous1,selectByUsername/1[java.lang.String],username,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\react-web\src\main\java\ui\config\StaticResourceConfiguration.java,ui.config.StaticResourceConfiguration,addResourceHandlers/1[ui.config.ResourceHandlerRegistry],registry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\react-web\src\main\java\ui\config\StaticResourceConfiguration.java,ui.config.StaticResourceConfiguration,addResourceHandlers/1[ui.config.ResourceHandlerRegistry],pathContext,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\react-web\src\main\java\ui\config\StaticResourceConfiguration.java,ui.config.StaticResourceConfiguration,addViewControllers/1[ui.config.ViewControllerRegistry],registry,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\react-web\src\main\java\ui\config\StaticResourceConfiguration.java,ui.config.StaticResourceConfiguration,addViewControllers/1[ui.config.ViewControllerRegistry],pathContext,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\react-web\src\main\java\ui\config\StaticResourceConfiguration.java,ui.config.StaticResourceConfiguration,StaticResourceConfiguration/1[ui.properties.UiProperties],uiProperties,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\search-center\search-server\src\main\java\com\central\admin\service\IIndexService.java,com.central.admin.service.IIndexService,delete/1[java.lang.String],indexName,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\search-center\search-server\src\main\java\com\central\admin\service\IIndexService.java,com.central.admin.service.IIndexService,create/1[com.central.admin.model.IndexDto],indexDto,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\search-center\search-server\src\main\java\com\central\admin\service\IIndexService.java,com.central.admin.service.IIndexService,"list/2[java.lang.String,java.lang.String]",indices,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\search-center\search-server\src\main\java\com\central\admin\service\IIndexService.java,com.central.admin.service.IIndexService,"list/2[java.lang.String,java.lang.String]",queryStr,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\search-center\search-server\src\main\java\com\central\admin\service\IIndexService.java,com.central.admin.service.IIndexService,show/1[java.lang.String],indexName,0
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\datascope\mp\sql\handler\CreatorDataScopeSqlHandler.java,com.central.common.datascope.mp.sql.handler.CreatorDataScopeSqlHandler,handleScopeSql/0,item,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\datascope\mp\sql\handler\CreatorDataScopeSqlHandler.java,com.central.common.datascope.mp.sql.handler.CreatorDataScopeSqlHandler,handleScopeSql/0,roleList,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-common-core\src\main\java\com\central\common\datascope\mp\sql\handler\CreatorDataScopeSqlHandler.java,com.central.common.datascope.mp.sql.handler.CreatorDataScopeSqlHandler,handleScopeSql/0,user,3
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\service\impl\IntegralReceiveService.java,com.rocketmq.demo.service.impl.IntegralReceiveService,receive/1[com.rocketmq.demo.service.impl.Message],consumeError,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\service\impl\IntegralReceiveService.java,com.rocketmq.demo.service.impl.IntegralReceiveService,receive/1[com.rocketmq.demo.service.impl.Message],message,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\service\impl\IntegralReceiveService.java,com.rocketmq.demo.service.impl.IntegralReceiveService,receiveDlq/1[com.rocketmq.demo.service.impl.Message],orderId,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-demo\rocketmq-demo\rocketmq-transactional\src\main\java\com\rocketmq\demo\service\impl\IntegralReceiveService.java,com.rocketmq.demo.service.impl.IntegralReceiveService,receiveDlq/1[com.rocketmq.demo.service.impl.Message],message,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-web\layui-web\src\main\java\com\central\web\BackWebApplication.java,com.central.web.BackWebApplication,main/1[java.lang.String[]],args,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-business\file-center\src\main\java\com\central\FileCenterApp.java,com.central.FileCenterApp,main/1[java.lang.String[]],args,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],authKey,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],conn,15
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],access,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],clientId,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],auth,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],accessToRefreshKey,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],unameKey,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],accessBakKey,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],accessKey,2
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],authToAccessKey,1
C:\Users\91768\Desktop\ood ass 2\new selected proj\microservices-platform-master\zlt-commons\zlt-auth-client-spring-boot-starter\src\main\java\com\central\oauth2\common\store\CustomRedisTokenStore.java,com.central.oauth2.common.store.CustomRedisTokenStore,removeAccessToken/1[java.lang.String],tokenValue,4
